,name,id
812,AARHUS LUFTHAVN,SN607000
645,AASTA HANSTEEN,SN77040
1759,ABBEVILLE,SN700500
38,ABERPORTH,SN350200
1776,ADAK D,SN214720
530,ADVENTDALEN,SN99870
92,ADVENTDALEN - ICE-WEDGE,SN99877
509,ADVENTDALEN - INNERHYTTA PINGO,SN99879
1282,ADVENTDALEN - LOESS TERRACE,SN99869
1389,ADVENTDALEN - UPPER SNOWDRIFT,SN99872
352,AHTARI MYLLYMAKI,SN292400
1516,AJACCIO,SN776100
1348,AKHISAR,SN1718400
1036,AKSELØYA,SN99765
649,ALBACETE/LOS LLANOS,SN828000
608,ALDERGROVE,SN391700
1252,ALEXANDROUPOLI (AIRPORT),SN1662700
1683,ALICANTE,SN835900
1471,ALMERIA/AEROPUERTO,SN848700
1231,ALTA LUFTHAVN,SN93140
997,ALVDAL,SN8880
370,AMOT,SN244000
1910,AMSTERDAM AP SCHIPHOL,SN624000
15,ANDØYA,SN87110
1294,ANDØYA - TROLLTINDEN,SN87120
994,ANESTØLEN,SN55740
1139,ARAD,SN1520000
1821,ARE,SN221700
668,ARENDAL BRANNSTASJON II,SN36110
1664,ARENDAL LUFTHAVN,SN36330
1794,ARENDAL SENTRUM,SN36055
1131,ARJEPLOG,SN212400
1671,ARJEPLOG-MYRHEDEN D,SN212420
395,ARKONA,SN1009100
1033,ARNØYA - LANGFJORDEN,SN91726
1168,ARNØYA - TROLLTINDEN,SN91729
310,ARNØYHAMN,SN91727
348,ARSTADTAJET,SN12210
1948,ARVIKA,SN241100
1165,ASELE,SN225400
284,ASKER,SN19710
1275,ASKER - NESBRU,SN19670
827,ASKER - VARDÅSEN,SN19760
1767,ASKER - VOLLEN,SN19780
949,ASKER BRANNSTASJON II,SN19718
953,ASKER − BØDALEN,SN19790
1731,ASKIM - KYKKELSRUD,SN3720
1784,ASKIM II,SN3810
1271,ATHINAI HELLINIKON,SN1671600
621,ATNDALEN - RØNNINGEN,SN8450
267,ATNSJØEN,SN8720
1118,AUNET,SN68420
1530,AURE,SN65145
992,AUREVANN,SN19530
1265,AURLAND,SN53700
1655,AURSKOG II,SN2650
903,AURSUND,SN10600
498,AUSTEVOLL,SN50175
1248,AVASJÖ-BORGAFJÄLL D,SN211030
905,AVESTA,SN248210
1962,Akershus fylke,GF2
1969,Aust-Agder fylke,GF9
190,BACKE D,SN224310
1440,BAJA,SN1296000
238,BAKKE,SN42720
